date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:54	6663/6663	---M-Z	200	added ('OK')	text/css	etag:%221a07-6789929a-4fc8d0cbf903cd61;gz%22	https://powderblue-cat-511351.hostingersite.com/css/dowodnowy.css	C:/My%20Web%20Sites/Obywatel/powderblue-cat-511351.hostingersite.com/css/dowodnowy.css	(from https://powderblue-cat-511351.hostingersite.com/fObywatel_ludzie_p2xt4gLmsl/dowodnowy.html)
16:55:55	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/Obywatel/code.jquery.com/jquery-3.6.0.min.js	(from https://powderblue-cat-511351.hostingersite.com/fObywatel_ludzie_p2xt4gLmsl/dowodnowy.html)
16:55:55	654/654	---M-Z	200	added ('OK')	application/x-javascript	etag:%2228e-677c28ef-8a71eedb4e603d32;gz%22	https://powderblue-cat-511351.hostingersite.com/dowod_files/timenew.js	C:/My%20Web%20Sites/Obywatel/powderblue-cat-511351.hostingersite.com/dowod_files/timenew.js	(from https://powderblue-cat-511351.hostingersite.com/fObywatel_ludzie_p2xt4gLmsl/dowodnowy.html)
16:55:55	21/21	---M--	403	error ('Forbidden')	text/plain	date:Sat,%2029%20Mar%202025%2015:55:55%20GMT	https://scontent.fpoz4-1.fna.fbcdn.net/v/t1.15752-9/481453553_2996388623995955_3371289384978279393_n.png?_nc_cat=107&ccb=1-7&_nc_sid=0024fc&_nc_ohc=xxA93dm_bFMQ7kNvgHWbUD9&_nc_oc=Adjg9eap9HNC6BaA-nli3vDHUDET_Kk9cvkSisyKbEMhMu5GeaViI_SsWRWLplVDCj4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.fpoz4-1.fna&oh=03_Q7cD1gHBbZjSkp7Xyb59d7VNQn_Ek8ASnCR1-X8sGHde8Bdl8g&oe=67E3E2C6	C:/My%20Web%20Sites/Obywatel/scontent.fpoz4-1.fna.fbcdn.net/v/t1.15752-9/481453553_2996388623995955_3371289384978279393_n.bb95b.delayed	(from https://powderblue-cat-511351.hostingersite.com/fObywatel_ludzie_p2xt4gLmsl/dowodnowy.html)
16:55:56	483005/483005	---M--	200	added ('OK')	image/gif	etag:%2275ebd-677c28ee-585e9177db1d1f66;;;%22	https://powderblue-cat-511351.hostingersite.com/dowod_files/flaga.gif	C:/My%20Web%20Sites/Obywatel/powderblue-cat-511351.hostingersite.com/dowod_files/flaga.gif	(from https://powderblue-cat-511351.hostingersite.com/fObywatel_ludzie_p2xt4gLmsl/dowodnowy.html)
16:55:56	2634/2634	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Mar%202025%2015:55:55%20GMT	https://powderblue-cat-511351.hostingersite.com/dowod_files/checkbo.png	C:/My%20Web%20Sites/Obywatel/powderblue-cat-511351.hostingersite.com/dowod_files/checkbo.png	(from https://powderblue-cat-511351.hostingersite.com/fObywatel_ludzie_p2xt4gLmsl/dowodnowy.html)
16:55:56	880077/880077	---M--	200	added ('OK')	image/gif	etag:%22d6dcd-67829761-91931204297be9e2;;;%22	https://powderblue-cat-511351.hostingersite.com/dowod_files/godlo.gif	C:/My%20Web%20Sites/Obywatel/powderblue-cat-511351.hostingersite.com/dowod_files/godlo.gif	(from https://powderblue-cat-511351.hostingersite.com/fObywatel_ludzie_p2xt4gLmsl/dowodnowy.html)
16:55:56	3172/3172	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Mar%202025%2015:55:56%20GMT	https://powderblue-cat-511351.hostingersite.com/dowod_files/card.png	C:/My%20Web%20Sites/Obywatel/powderblue-cat-511351.hostingersite.com/dowod_files/card.png	(from https://powderblue-cat-511351.hostingersite.com/fObywatel_ludzie_p2xt4gLmsl/dowodnowy.html)
16:55:56	649/649	---M-Z	200	added ('OK')	application/x-javascript	etag:%22289-677c28ef-3bf39f7b24a0e185;gz%22	https://powderblue-cat-511351.hostingersite.com/dowod_files/rozwijka.js	C:/My%20Web%20Sites/Obywatel/powderblue-cat-511351.hostingersite.com/dowod_files/rozwijka.js	(from https://powderblue-cat-511351.hostingersite.com/fObywatel_ludzie_p2xt4gLmsl/dowodnowy.html)
16:55:57	798/798	---M-Z	200	added ('OK')	application/x-javascript	etag:%2231e-677c28ef-85fb349ab1b12bbe;gz%22	https://powderblue-cat-511351.hostingersite.com/dowod_files/wybor.js	C:/My%20Web%20Sites/Obywatel/powderblue-cat-511351.hostingersite.com/dowod_files/wybor.js	(from https://powderblue-cat-511351.hostingersite.com/fObywatel_ludzie_p2xt4gLmsl/dowodnowy.html)
16:55:57	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-62a209ddc934343f;gz%22	https://powderblue-cat-511351.hostingersite.com/fObywatel_ludzie_p2xt4gLmsl/rozwijka.js	C:/My%20Web%20Sites/Obywatel/powderblue-cat-511351.hostingersite.com/fObywatel_ludzie_p2xt4gLmsl/rozwijka.js	(from https://powderblue-cat-511351.hostingersite.com/dowod_files/rozwijka.js)
